uct_time,launch_name,payloads,rocket_name,rocket_boosters,rocket_height,rocket_diameter,rocket_mass,launchpad_name,launchpad_region,launchpad_geo,landpad,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
2006-03-24T22:30:00.000Z,FalconSat,"[{'type': 'Satellite', 'mass': 20, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Failure
2007-03-21T01:10:00.000Z,DemoSat,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Failure
2008-08-03T03:34:00.000Z,Trailblazer,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}, {'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Failure
2008-09-28T23:15:00.000Z,RatSat,"[{'type': 'Satellite', 'mass': 165, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Success
2009-07-13T03:35:00.000Z,RazakSat,"[{'type': 'Satellite', 'mass': 200, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Success
2010-06-04T18:45:00.000Z,Falcon 9 Test Flight,"[{'type': 'Dragon Boilerplate', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2010-12-08T15:43:00.000Z,COTS 1,"[{'type': 'Dragon 1.0', 'mass': None, 'orbit': 'LEO'}, {'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2012-05-22T07:44:00.000Z,COTS 2,"[{'type': 'Dragon 1.0', 'mass': 525, 'orbit': 'LEO'}]",Falcon 9,0,,,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2012-10-08T00:35:00.000Z,CRS-1,"[{'type': 'Dragon 1.0', 'mass': 4700, 'orbit': 'ISS'}, {'type': 'Dragon 1.0', 'mass': 400, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2013-03-01T19:10:00.000Z,CRS-2,"[{'type': 'Dragon 1.0', 'mass': 4877, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2013-09-29T16:00:00.000Z,CASSIOPE,"[{'type': 'Satellite', 'mass': 500, 'orbit': 'PO'}]",Falcon 9,0,,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,,Ocean,,"(nan, nan)",Success
