Year_of_Release,Genre,Number_of_Games
1980,Action,1
1980,Adventure,0
1980,Fighting,1
1980,Misc,4
1980,Platform,0
1980,Puzzle,0
1980,Racing,0
1980,Role-Playing,0
1980,Shooter,2
1980,Simulation,0
1980,Sports,1
1980,Strategy,0
1981,Action,32
1981,Adventure,1
1981,Fighting,2
1981,Misc,4
1981,Platform,3
1981,Puzzle,5
1981,Racing,3
1981,Role-Playing,0
1981,Shooter,14
1981,Simulation,1
1981,Sports,7
1981,Strategy,0
1982,Action,52
1982,Adventure,1
1982,Fighting,2
1982,Misc,5
1982,Platform,8
1982,Puzzle,8
1982,Racing,5
1982,Role-Playing,0
1982,Shooter,20
1982,Simulation,1
1982,Sports,9
1982,Strategy,0
1983,Action,59
1983,Adventure,2
1983,Fighting,2
1983,Misc,6
1983,Platform,13
1983,Puzzle,9
1983,Racing,5
1983,Role-Playing,0
1983,Shooter,21
1983,Simulation,1
1983,Sports,10
1983,Strategy,0
1984,Action,60
1984,Adventure,2
1984,Fighting,2
1984,Misc,7
1984,Platform,14
1984,Puzzle,12
1984,Racing,8
1984,Role-Playing,0
1984,Shooter,24
1984,Simulation,1
1984,Sports,12
1984,Strategy,0
1985,Action,62
1985,Adventure,2
1985,Fighting,3
1985,Misc,7
1985,Platform,18
1985,Puzzle,16
1985,Racing,8
1985,Role-Playing,0
1985,Shooter,25
1985,Simulation,2
1985,Sports,13
1985,Strategy,0
1986,Action,68
1986,Adventure,2
1986,Fighting,3
1986,Misc,7
1986,Platform,24
1986,Puzzle,16
1986,Racing,9
1986,Role-Playing,1
1986,Shooter,29
1986,Simulation,2
1986,Sports,16
1986,Strategy,0
1987,Action,70
1987,Adventure,3
1987,Fighting,5
1987,Misc,7
1987,Platform,26
1987,Puzzle,16
1987,Racing,9
1987,Role-Playing,4
1987,Shooter,31
1987,Simulation,2
1987,Sports,20
1987,Strategy,0
1988,Action,72
1988,Adventure,3
1988,Fighting,5
1988,Misc,7
1988,Platform,30
1988,Puzzle,17
1988,Racing,10
1988,Role-Playing,7
1988,Shooter,32
1988,Simulation,3
1988,Sports,22
1988,Strategy,0
1989,Action,74
1989,Adventure,3
1989,Fighting,5
1989,Misc,8
1989,Platform,33
1989,Puzzle,22
1989,Racing,10
1989,Role-Playing,9
1989,Shooter,33
1989,Simulation,3
1989,Sports,25
1989,Strategy,0
1990,Action,77
1990,Adventure,3
1990,Fighting,5
1990,Misc,8
1990,Platform,36
1990,Puzzle,24
1990,Racing,12
1990,Role-Playing,11
1990,Shooter,33
1990,Simulation,4
1990,Sports,28
1990,Strategy,0
1991,Action,82
1991,Adventure,5
1991,Fighting,6
1991,Misc,9
1991,Platform,43
1991,Puzzle,28
1991,Racing,13
1991,Role-Playing,16
1991,Shooter,36
1991,Simulation,6
1991,Sports,35
1991,Strategy,4
1992,Action,83
1992,Adventure,9
1992,Fighting,13
1992,Misc,11
1992,Platform,49
1992,Puzzle,33
1992,Racing,15
1992,Role-Playing,21
1992,Shooter,39
1992,Simulation,7
1992,Sports,39
1992,Strategy,7
1993,Action,89
1993,Adventure,10
1993,Fighting,24
1993,Misc,14
1993,Platform,60
1993,Puzzle,36
1993,Racing,17
1993,Role-Playing,30
1993,Shooter,41
1993,Simulation,8
1993,Sports,48
1993,Strategy,10
1994,Action,93
1994,Adventure,14
1994,Fighting,46
1994,Misc,20
1994,Platform,71
1994,Puzzle,39
1994,Racing,25
1994,Role-Playing,47
1994,Shooter,52
1994,Simulation,15
1994,Sports,70
1994,Strategy,16
1995,Action,101
1995,Adventure,28
1995,Fighting,75
1995,Misc,42
1995,Platform,84
1995,Puzzle,52
1995,Racing,37
1995,Role-Playing,71
1995,Shooter,82
1995,Simulation,29
1995,Sports,99
1995,Strategy,30
1996,Action,121
1996,Adventure,45
1996,Fighting,107
1996,Misc,65
1996,Platform,99
1996,Puzzle,61
1996,Racing,59
1996,Role-Playing,100
1996,Shooter,105
1996,Simulation,42
1996,Sports,151
1996,Strategy,42
1997,Action,153
1997,Adventure,59
1997,Fighting,135
1997,Misc,77
1997,Platform,117
1997,Puzzle,75
1997,Racing,95
1997,Role-Playing,124
1997,Shooter,133
1997,Simulation,61
1997,Sports,198
1997,Strategy,63
1998,Action,201
1998,Adventure,84
1998,Fighting,177
1998,Misc,99
1998,Platform,145
1998,Puzzle,88
1998,Racing,146
1998,Role-Playing,150
1998,Shooter,156
1998,Simulation,69
1998,Sports,270
1998,Strategy,98
1999,Action,243
1999,Adventure,103
1999,Fighting,201
1999,Misc,124
1999,Platform,163
1999,Puzzle,94
1999,Racing,196
1999,Role-Playing,184
1999,Shooter,172
1999,Simulation,89
1999,Sports,335
1999,Strategy,125
2000,Action,287
2000,Adventure,119
2000,Fighting,230
2000,Misc,144
2000,Platform,190
2000,Puzzle,106
2000,Racing,239
2000,Role-Playing,213
2000,Shooter,192
2000,Simulation,104
2000,Sports,418
2000,Strategy,142
2001,Action,356
2001,Adventure,140
2001,Fighting,249
2001,Misc,170
2001,Platform,233
2001,Puzzle,121
2001,Racing,311
2001,Role-Playing,254
2001,Shooter,228
2001,Simulation,132
2001,Sports,517
2001,Strategy,163
2002,Action,492
2002,Adventure,183
2002,Fighting,308
2002,Misc,223
2002,Platform,316
2002,Puzzle,144
2002,Racing,421
2002,Role-Playing,318
2002,Shooter,311
2002,Simulation,152
2002,Sports,721
2002,Strategy,186
2003,Action,641
2003,Adventure,195
2003,Fighting,359
2003,Misc,278
2003,Platform,403
2003,Puzzle,152
2003,Racing,532
2003,Role-Playing,366
2003,Shooter,393
2003,Simulation,187
2003,Sports,852
2003,Strategy,223
2004,Action,767
2004,Adventure,233
2004,Fighting,398
2004,Misc,364
2004,Platform,472
2004,Puzzle,177
2004,Racing,606
2004,Role-Playing,426
2004,Shooter,481
2004,Simulation,216
2004,Sports,959
2004,Strategy,255
2005,Action,960
2005,Adventure,275
2005,Fighting,442
2005,Misc,481
2005,Platform,556
2005,Puzzle,210
2005,Racing,683
2005,Role-Playing,499
2005,Shooter,578
2005,Simulation,254
2005,Sports,1081
2005,Strategy,284
2006,Action,1153
2006,Adventure,346
2006,Fighting,498
2006,Misc,591
2006,Platform,610
2006,Puzzle,254
2006,Racing,759
2006,Role-Playing,610
2006,Shooter,647
2006,Simulation,311
2006,Sports,1226
2006,Strategy,328
2007,Action,1365
2007,Adventure,430
2007,Fighting,549
2007,Misc,743
2007,Platform,652
2007,Puzzle,320
2007,Racing,846
2007,Role-Playing,714
2007,Shooter,732
2007,Simulation,401
2007,Sports,1395
2007,Strategy,395
2008,Action,1595
2008,Adventure,601
