Total Population,Female Population,Male Population,Birth Rate,Death Rate,Male life expectancy,Female life expectancy,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
333287557.0,168266219.0,165021339.0,None,None,None,None,None,None,None,None,2022,USA
332031554.0,167550001.0,164481553.0,11.0,10.4,73.5,79.3,None,None,None,None,2021,USA
331511512.0,167203010.0,164308503.0,10.9,10.3,74.2,79.9,100.305793762207,87.5676574707031,100.923667907715,None,2020,USA
328329953.0,165599805.0,162730147.0,11.4,8.7,76.3,81.4,100.981300354004,87.8887100219727,100.489051818848,None,2019,USA
326838199.0,164926348.0,161911851.0,11.6,8.678,76.2,81.2,101.256561279297,88.2991790771484,100.092697143555,None,2018,USA
325122128.0,164151818.0,160970309.0,11.8,8.638,76.1,81.1,101.821441650391,88.1673889160156,98.8321990966797,None,2017,USA
323071755.0,163224028.0,159847727.0,12.2,8.493,76.1,81.1,101.362861633301,88.8350524902344,None,None,2016,USA
320738994.0,162158414.0,158580581.0,12.4,8.44,76.3,81.2,100.299911499023,88.8894119262695,None,None,2015,USA
318386329.0,161084758.0,157301571.0,12.5,8.237,76.5,81.3,99.6733779907227,88.6268692016602,None,None,2014,USA
316059947.0,160034189.0,156025758.0,12.4,8.215,76.4,81.2,99.455436706543,88.7264175415039,None,None,2013,USA
313877662.0,159064447.0,154813215.0,12.6,8.102,76.4,81.2,None,None,None,None,2012,USA
311583481.0,158043988.0,153539494.0,12.7,8.073,76.3,81.1,None,None,None,None,2011,USA
309327143.0,156968302.0,152358841.0,13.0,7.995,76.2,81.0,None,None,None,None,2010,USA
306771529.0,155660194.0,151111335.0,13.5,7.9,76.0,80.9,None,None,None,None,2009,USA
304093966.0,154289840.0,149804127.0,14.0,8.1,75.6,80.6,None,None,None,None,2008,USA
301231207.0,152829130.0,148402076.0,14.3,8.0,75.5,80.6,None,None,None,None,2007,USA
298379912.0,151383683.0,146996229.0,14.3,8.1,75.2,80.3,None,None,None,None,2006,USA
