SKU,Name,Price,InStock,Categories,Tags
4391,Bulbasaur,63.0,45,"Pokemon, Seed","bulbasaur, Overgrow, Seed"
7227,Ivysaur,87.0,142,"Pokemon, Seed","ivysaur, Overgrow, Seed"
7036,Venusaur,105.0,30,"Pokemon, Seed","Overgrow, Seed, venusaur"
9086,Charmander,48.0,206,"Lizard, Pokemon","Blaze, charmander, Lizard"
6565,Charmeleon,165.0,284,"Flame, Pokemon","Blaze, charmeleon, Flame"
8840,Charizard,156.0,31,"Flame, Pokemon","Blaze, Charizard, Flame"
6094,Squirtle,130.0,178,"Pokemon, Tiny Turtle","squirtle, Tiny Turtle, Torrent"
9659,Wartortle,123.0,24,"Pokemon, Turtle","Torrent, Turtle, wartortle"
5212,Blastoise,76.0,88,"Pokemon, Shellfish","blastoise, Shellfish, Torrent"
7492,Caterpie,73.0,40,"Pokemon, Worm","caterpie, Shield Dust, Worm"
2072,Metapod,148.0,285,"Cocoon, Pokemon","Cocoon, metapod, Shed Skin"
9507,Butterfree,162.0,242,"Butterfly, Pokemon","Butterfly, butterfree, Compound Eyes"
7525,Weedle,25.0,65,"Hairy Bug, Pokemon","Hairy Bug, Shield Dust, weedle"
1049,Kakuna,148.0,260,"Cocoon, Pokemon","Cocoon, kakuna, Shed Skin"
6542,Beedrill,168.0,125,"Poison Bee, Pokemon","beedrill, Poison Bee, Swarm"
9452,Pidgey,159.0,175,"Pokemon, Tiny Bird","Keen Eye, pidgey, Tiny Bird"
1150,Pidgeotto,84.0,120,"Bird, Pokemon","Bird, Keen Eye, pidgeotto"
8462,Pidgeot,185.0,90,"Bird, Pokemon","Bird, Keen Eye, pidgeot"
1009,Rattata,128.0,16,"Mouse, Pokemon","Mouse, rattata, Run Away"
5745,Raticate,60.0,204,"Mouse, Pokemon","Mouse, raticate, Run Away"
1591,Spearow,133.0,46,"Pokemon, Tiny Bird","Keen Eye, spearow, Tiny Bird"
9127,Fearow,95.0,276,"Beak, Pokemon","Beak, fearow, Keen Eye"
5690,Ekans,55.0,120,"Pokemon, Snake","ekans, Shed Skin, Snake"
9230,Arbok,182.0,248,"Cobra, Pokemon","arbok, Cobra, Shed Skin"
1333,Pikachu,37.0,254,"Mouse, Pokemon","Mouse, pikachu, Static"
3488,Raichu,140.0,215,"Mouse, Pokemon","Mouse, raichu, Static"
9134,Sandshrew,82.0,100,"Mouse, Pokemon","Mouse, Sand Veil, sandshrew"
4747,Sandslash,155.0,236,"Mouse, Pokemon","Mouse, Sand Veil, sandslash"
9779,Nidorina,28.0,58,"Poison Pin, Pokemon","nidorina, Poison Pin, Poison Point"
