Country Name,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
USA,31990143,576298.0,24560856.0,6852989.0,420822699.0,332516170
India,13689453,171089.0,12253697.0,1264667.0,259207108.0,1390568032
Brazil,13521409,355031.0,11957068.0,1209310.0,28600000.0,213737070
France,5067216,99135.0,310934.0,4657147.0,70140847.0,65386285
Russia,4657883,103601.0,4281776.0,272506.0,124100000.0,145983351
UK,4373343,127100.0,3981812.0,264431.0,136821861.0,68164143
Turkey,3903573,34182.0,3372629.0,496762.0,41892922.0,85045404
Italy,3779594,114612.0,3140565.0,524417.0,53245501.0,60392321
Spain,3370256,76525.0,3111026.0,182705.0,44285495.0,46768927
Germany,3021064,79110.0,2700200.0,241754.0,51559277.0,83993045
Poland,2599850,59126.0,2219655.0,321069.0,13062929.0,37814209
Colombia,2552937,66156.0,2395733.0,91048.0,13367485.0,51305017
Argentina,2551999,57957.0,2247124.0,246918.0,9655684.0,45518759
Mexico,2281840,209702.0,1812694.0,259444.0,6279527.0,129987170
Iran,2093452,64764.0,1720084.0,308604.0,13770167.0,84829001
Ukraine,1872785,37758.0,1430234.0,404793.0,8677716.0,43528048
Peru,1653320,55230.0,1575242.0,22848.0,10026470.0,33328876
Czechia,1585037,28038.0,1473483.0,83516.0,14635011.0,10724495
Indonesia,1577526,42782.0,1426145.0,108599.0,13510828.0,275774906
South Africa,1559113,53356.0,1484356.0,21401.0,10154978.0,59890253
Netherlands,1357340,16791.0,28706.0,3306.0,11292587.0,17164474
Chile,1082920,24483.0,1012904.0,45533.0,11971224.0,19244023
Canada,1071016,23356.0,972525.0,75135.0,29142269.0,37999909
Romania,1012373,25441.0,915464.0,71468.0,7736296.0,19137193
Iraq,932899,14757.0,820532.0,97610.0,8552580.0,40921569
Belgium,927229,23503.0,59873.0,843853.0,11723475.0,11628975
Philippines,884783,15286.0,703963.0,165534.0,10814501.0,110715077
Sweden,857401,13621.0,28706.0,3306.0,7847033.0,10148363
Israel,836158,6304.0,826494.0,3360.0,13778191.0,9197590
Portugal,827765,16918.0,785063.0,25784.0,9530238.0,10173455
Pakistan,729920,15619.0,638267.0,76034.0,10829994.0,224218687
Hungary,728078,23980.0,431124.0,272974.0,4976613.0,9641167
Bangladesh,691957,9822.0,581113.0,101022.0,5037833.0,165966798
Jordan,669300,7855.0,604044.0,57401.0,6348440.0,10281995
Serbia,645173,5773.0,560934.0,78466.0,3601063.0,8709834
Switzerland,623126,10466.0,560294.0,52366.0,6412371.0,8703948
Austria,581263,9748.0,541786.0,29729.0,27197861.0,9046471
Japan,506286,9400.0,465916.0,30970.0,10454733.0,126173611
Morocco,502277,8909.0,488632.0,4736.0,6106431.0,37250917
Lebanon,497854,6703.0,406095.0,85056.0,3719848.0,6801526
UAE,485675,1533.0,470175.0,13967.0,40403698.0,9983359
Saudi Arabia,399277,6765.0,384027.0,8485.0,15857235.0,35235026
Bulgaria,375115,14619.0,289356.0,71140.0,2287726.0,6907472
Slovakia,372038,10716.0,255300.0,106022.0,2449747.0,5461708
Malaysia,363940,1345.0,346295.0,16300.0,8292260.0,32688487
Panama,358792,6167.0,348554.0,4071.0,2243777.0,4367524
Ecuador,347070,17298.0,290314.0,39458.0,1195370.0,17851195
Belarus,336881,2363.0,327087.0,7431.0,5563117.0,9446894
Greece,297086,8961.0,254804.0,33321.0,7109471.0,10383207
Croatia,294874,6358.0,276420.0,12096.0,1652525.0,4085445
Georgia,290129,3894.0,278251.0,7984.0,3722612.0,3983180
Azerbaijan,287144,3944.0,251760.0,31440.0,3026132.0,10210354
Bolivia,283084,12469.0,232422.0,38193.0,999531.0,11796807
Nepal,280524,3053.0,274165.0,3306.0,2317284.0,29543475
Kazakhstan,273825,3260.0,235862.0,34703.0,9258849.0,18951428
Tunisia,272940,9332.0,226070.0,37538.0,1186045.0,11914881
Palestine,270856,2883.0,234698.0,33275.0,1636553.0,5193231
Dominican Republic,258039,3392.0,216780.0,37867.0,1348754.0,10932601
Kuwait,248729,1412.0,232556.0,14761.0,2169047.0,4319647
Moldova,241820,5409.0,223822.0,12589.0,905532.0,4026631
Ireland,241330,4785.0,23364.0,213181.0,4196113.0,4980708
Denmark,238306,2443.0,227244.0,8619.0,29457120.0,5808121
Paraguay,237542,4889.0,194987.0,37666.0,981681.0,7200687
Ethiopia,230944,3208.0,171980.0,55756.0,2453287.0,117166929
Lithuania,227889,3713.0,207391.0,16785.0,2516597.0,2692476
Slovenia,227836,4130.0,209920.0,13786.0,1109932.0,2079161
Costa Rica,222544,3018.0,194760.0,24766.0,842015.0,5130346
Egypt,211307,12487.0,159999.0,38821.0,2677262.0,103831623
Armenia,204053,3775.0,183660.0,16618.0,909604.0,2967568
Guatemala,203309,7020.0,186127.0,10162.0,1108633.0,18172684
Honduras,196086,4861.0,75952.0,115273.0,542768.0,10026957
Qatar,190998,335.0,170194.0,20469.0,1808736.0,2807805
Bosnia and Herzegovina,184698,7487.0,141602.0,35609.0,846536.0,3264840
Venezuela,175812,1795.0,158399.0,15618.0,3359014.0,28372923
Oman,174364,1798.0,154771.0,17795.0,1550000.0,5207086
Libya,169504,2830.0,154220.0,12454.0,919189.0,6943932
Nigeria,163837,2061.0,154177.0,7599.0,1838174.0,210092733
Bahrain,157729,562.0,145953.0,11214.0,3798472.0,1747137
Uruguay,147173,1533.0,113125.0,32515.0,1532512.0,3483126
Kenya,146156,2368.0,99210.0,44578.0,1564827.0,54688827
Myanmar,142596,3206.0,131869.0,7521.0,2555312.0,54694134
North Macedonia,142034,4262.0,117794.0,19978.0,670333.0,2083307
Albania,128518,2321.0,98269.0,27928.0,585329.0,2875341
