Country Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical Cases,Total Tests,Population
USA,"31,990,143",,"576,298 ",,"24,560,856","6,852,989","9,321","420,822,699","332,516,170"
India,"13,689,453","+3,380","171,089 ",,"12,253,697","1,264,667","8,944","259,207,108","1,390,568,032"
Brazil,"13,521,409",,"355,031 ",,"11,957,068","1,209,310","8,318","28,600,000","213,737,070"
France,"5,067,216",,"99,135 ",,"310,934","4,657,147","5,916","70,140,847","65,386,285"
Russia,"4,657,883","+8,173","103,601 ",338.0,"4,281,776","272,506","2,300","124,100,000","145,983,351"
UK,"4,373,343",,"127,100 ",,"3,981,812","264,431",406,"136,821,861","68,164,143"
Turkey,"3,903,573",,"34,182 ",,"3,372,629","496,762","2,891","41,892,922","85,045,404"
Italy,"3,779,594",,"114,612 ",,"3,140,565","524,417","3,593","53,245,501","60,392,321"
Spain,"3,370,256",,"76,525 ",,"3,111,026","182,705","2,163","44,285,495","46,768,927"
Germany,"3,021,064",,"79,110 ",,"2,700,200","241,754","4,662","51,559,277","83,993,045"
Poland,"2,599,850","+13,227","59,126 ",644.0,"2,219,655","321,069","3,513","13,062,929","37,814,209"
Colombia,"2,552,937",,"66,156 ",,"2,395,733","91,048","3,079","13,367,485","51,305,017"
Argentina,"2,551,999",,"57,957 ",,"2,247,124","246,918","3,819","9,655,684","45,518,759"
Mexico,"2,281,840","+1,627","209,702 ",364.0,"1,812,694","259,444","4,798","6,279,527","129,987,170"
Iran,"2,093,452",,"64,764 ",,"1,720,084","308,604","4,440","13,770,167","84,829,001"
Ukraine,"1,872,785","+11,680","37,758 ",457.0,"1,430,234","404,793",177,"8,677,716","43,528,048"
Peru,"1,653,320",,"55,230 ",,"1,575,242","22,848","2,073","10,026,470","33,328,876"
Czechia,"1,585,037","+3,843","28,038 ",42.0,"1,473,483","83,516","1,144","14,635,011","10,724,495"
Indonesia,"1,577,526","+5,702","42,782 ",126.0,"1,426,145","108,599",,"13,510,828","275,774,906"
South Africa,"1,559,113",,"53,356 ",,"1,484,356","21,401",546,"10,154,978","59,890,253"
Netherlands,"1,357,340",,"16,791 ",,,,789,"11,292,587","17,164,474"
Chile,"1,082,920",,"24,483 ",,"1,012,904","45,533","3,203","11,971,224","19,244,023"
Canada,"1,071,016",,"23,356 ",,"972,525","75,135",928,"29,142,269","37,999,909"
Romania,"1,012,373","+3,883","25,441 ",193.0,"915,464","71,468","1,530","7,736,296","19,137,193"
Iraq,"932,899",,"14,757 ",,"820,532","97,610",451,"8,552,580","40,921,569"
Belgium,"927,229","+1,753","23,503 ",30.0,"59,873","843,853",899,"11,723,475","11,628,975"
Philippines,"884,783","+8,571","15,286 ",137.0,"703,963","165,534",750,"10,814,501","110,715,077"
