,Region,Country Name,HIV Treatment Rate 2018-2021,GNI per capita 2020 (USD),GDP growth 2020 (annual %),Adult literacy rate: Female: % ages 15 and older: 2013-22,GDP per capita grow(2020)
0,Latin America & Caribbean,Aruba,,24840,-18.58909924,97.98999786,-18.69832435
1,South Asia,Afghanistan,10.75,500,-2.351100673,37.2660408,-5.364665931
2,Sub-Saharan Africa,Angola,33.5,1690,-5.638214717,69.21505738,-8.672432129
3,Europe & Central Asia,Albania,48,5270,-3.302082039,98.5,-2.745238678
4,Europe & Central Asia,Andorra,,,-11.18393994,,-12.73507756
5,Middle East & North Africa,United Arab Emirates,,41600,-4.957052433,98.0647583,-5.731044522
6,Latin America & Caribbean,Argentina,68.25,9010,-9.943235134,,-10.81261085
7,Europe & Central Asia,Armenia,,4470,-7.199999999,99.75636292,-6.704049318
8,East Asia & Pacific,American Samoa,,,5.065359477,,7.64030128
9,Latin America & Caribbean,Antigua and Barbuda,,15010,-17.50218503,,-17.98917356
10,East Asia & Pacific,Australia,82.33333333,53620,-0.050885336,,-1.278358059
11,Europe & Central Asia,Austria,,48990,-6.453968467,,-6.841544703
12,Europe & Central Asia,Azerbaijan,52.25,4480,-4.300000102,99.79061381,-4.952701739
13,Sub-Saharan Africa,Burundi,88.5,220,0.327156893,68.47627258,-2.508461168
14,Europe & Central Asia,Belgium,,46040,-5.36258592,,-5.769592438
15,Sub-Saharan Africa,Benin,73.25,1230,3.8487924,47.09999847,0.951937861
16,Sub-Saharan Africa,Burkina Faso,75.75,750,1.93032489,34.52463341,-0.773847474
17,South Asia,Bangladesh,27.5,2300,3.448025628,69.55042744,2.271109279
18,Europe & Central Asia,Bulgaria,56.25,9530,-3.958614598,98.41999817,-3.380400724
19,Middle East & North Africa,Bahrain,59.25,22960,-4.644637359,,-3.565598605
20,Latin America & Caribbean,"Bahamas, The",68.25,23270,-23.50817631,,-23.86836277
21,Europe & Central Asia,Bosnia and Herzegovina,,6120,-3.015095148,97.64588546,-1.778703887
22,Europe & Central Asia,Belarus,66,6400,-0.672904125,99.87400055,-0.251386576
23,Latin America & Caribbean,Belize,47,5210,-13.40295909,,-14.68046614
24,North America,Bermuda,,111800,-6.837955191,,-6.811709487
25,Latin America & Caribbean,Bolivia,49.5,3120,-8.737884358,93.15382004,-9.952404845
26,Latin America & Caribbean,Brazil,70.25,7910,-3.276758796,92.72333309,-3.918004172
27,Latin America & Caribbean,Barbados,58.5,16230,-13.31102153,,-13.46945599
28,East Asia & Pacific,Brunei Darussalam,,31210,1.13357335,97.40205384,0.291718917
29,South Asia,Bhutan,37,2840,-10.00969933,69.33057404,-10.59763139
30,Sub-Saharan Africa,Botswana,88.25,6020,-8.729451498,86.82318115,-10.40331706
31,Sub-Saharan Africa,Central African Republic,56.75,460,0.899999997,37.44291115,-1.624775579
32,North America,Canada,,43810,-5.074357568,,-6.088212049
33,Europe & Central Asia,Switzerland,89,82490,-2.37556328,,-3.086282111
34,Europe & Central Asia,Channel Islands,,,-7.965078807,,-8.881055213
35,Latin America & Caribbean,Chile,67,13010,-6.145246857,96.67586899,-7.413626946
36,East Asia & Pacific,China,,10520,2.238638356,97.15000153,1.995558042
37,Sub-Saharan Africa,Cote d'Ivoire,69.75,2290,1.737620429,66.90091896,-0.782841474
38,Sub-Saharan Africa,Cameroon,66.5,1520,0.259932916,77.65052033,-2.422434418
39,Sub-Saharan Africa,"Congo, Dem. Rep.",65,540,1.735422764,78.79133988,-1.49268943
40,Sub-Saharan Africa,"Congo, Rep.",22.25,1760,-6.239319632,80.61000061,-8.400600152
41,Latin America & Caribbean,Colombia,62.5,5800,-7.252299075,94.84387461,-8.605811527
42,Sub-Saharan Africa,Comoros,53.5,1520,-0.195556827,61.70999908,-2.074861396
43,Sub-Saharan Africa,Cabo Verde,96,3190,-19.30282275,88.89514542,-20.07982255
44,Latin America & Caribbean,Costa Rica,60.25,11500,-4.273354322,98.04000092,-4.994101584
45,Latin America & Caribbean,Cuba,72,,-10.94834097,99.67311096,-10.8222658
46,Latin America & Caribbean,Curacao,,16690,-18.43847185,,-17.12567166
47,Latin America & Caribbean,Cayman Islands,,62420,-5.108135407,98.86782074,-6.767414346
48,Europe & Central Asia,Cyprus,75,26610,-4.372474186,99.36000061,-5.450317794
49,Europe & Central Asia,Czechia,,21800,-5.502967961,,-5.732526894
50,Europe & Central Asia,Germany,,48050,-3.696788705,,-3.775429714
51,Middle East & North Africa,Djibouti,33,2830,1.202022033,,-0.298338539
52,Latin America & Caribbean,Dominica,,7140,-16.60491154,,-17.26169347
53,Europe & Central Asia,Denmark,86.33333333,62710,-1.994607569,,-2.280015264
54,Latin America & Caribbean,Dominican Republic,48,7170,-6.720239373,92.77831574,-7.719058679
55,Middle East & North Africa,Algeria,80,3610,-5.1,81.40783691,-6.729941651
56,Latin America & Caribbean,Ecuador,69.25,5570,-7.787607091,93.9013443,-9.07131767
57,Middle East & North Africa,"Egypt, Arab Rep.",36,3010,3.550164838,72.70358276,1.770968731
58,Sub-Saharan Africa,Eritrea,69.75,,,76.57051849,
59,Europe & Central Asia,Spain,85,27130,-11.32543832,98.26626333,-11.75755913
60,Europe & Central Asia,Estonia,,23570,-0.551001258,99.87000275,-0.747277944
61,Sub-Saharan Africa,Ethiopia,76,880,6.059530886,51.7711792,3.280847984
62,Europe & Central Asia,Finland,,50060,-2.354965157,,-2.495122968
63,East Asia & Pacific,Fiji,38.5,4680,-17.0002349,,-17.17670889
64,Europe & Central Asia,France,83,39440,-7.784586492,,-8.034474295
65,Europe & Central Asia,Faroe Islands,,64250,-2.628731394,,-3.992282117
66,East Asia & Pacific,"Micronesia, Fed. Sts.",,4070,-1.765415152,,-2.402459942
67,Sub-Saharan Africa,Gabon,50.75,6830,-1.837761064,85.69000244,-3.969558634
68,Europe & Central Asia,United Kingdom,,38590,-11.03085846,,-11.35567606
69,Europe & Central Asia,Georgia,70.25,4260,-6.760439817,99.5084788,-6.824432632
70,Sub-Saharan Africa,Ghana,53,2230,0.513941671,80.37999725,-1.541636526
71,,Gibraltar,,,,,
72,Sub-Saharan Africa,Guinea,47,950,4.920266372,38.98384094,2.317241012
73,Sub-Saharan Africa,"Gambia, The",32,700,0.591487288,50.46600596,-1.953083669
74,Sub-Saharan Africa,Guinea-Bissau,42.25,740,-2.399999999,49.74058152,-4.596719957
75,Sub-Saharan Africa,Equatorial Guinea,38.5,5100,-4.241481321,,-6.822442154
76,Europe & Central Asia,Greece,69,17960,-9.004043642,,-8.808563835
77,Latin America & Caribbean,Grenada,,7880,-13.75662226,,-14.41148694
78,Europe & Central Asia,Greenland,,,0.187608794,,-0.064784281
79,Latin America & Caribbean,Guatemala,68.5,4490,-1.791857695,80.85131073,-3.273321968
80,East Asia & Pacific,Guam,,,-11.39218114,,-11.71000085
81,Latin America & Caribbean,Guyana,63,8190,43.47955594,87.83486557,43.75870325
82,East Asia & Pacific,"Hong Kong SAR, China",,48550,-6.54479911,,-6.208755145
